name	lat	lon
A1CxW37TOR2011	43.6532	-79.3832
E3CxW37TOR2011	43.6532	-79.3832
F4CxW37TOR2011	43.6532	-79.3832
G1CxW37TOR2011	43.6532	-79.3832
I1CxW37TOR2011	43.6532	-79.3832
K4CxW37TOR2011	43.6532	-79.3832
L1CxW37TOR2011	43.6532	-79.3832
L6CxW37TOR2011	43.6532	-79.3832
N1CxW37TOR2011	43.6532	-79.3832
Q3CxW37TOR2011	43.6532	-79.3832
R1CxW37TOR2011	43.6532	-79.3832
C1CxW24TOR2013	43.6532	-79.3832
D1CxW24TOR2013	43.6532	-79.3832
F1CxW24TOR2013	43.6532	-79.3832
M1CxW24TOR2013	43.6532	-79.3832
B1CxW24TOR2012	43.6532	-79.3832
D3CxW24TOR2012	43.6532	-79.3832
E1CxW24TOR2012	43.6532	-79.3832
E2CxW24TOR2012	43.6532	-79.3832
G1CxW24TOR2012	43.6532	-79.3832
J2CxW24TOR2012	43.6532	-79.3832
J3CxW24TOR2012	43.6532	-79.3832
L1CxW24TOR2012	43.6532	-79.3832
N1CxW24TOR2012	43.6532	-79.3832
O3CxW24TOR2012	43.6532	-79.3832
Q1CxW25TOR2011	43.6532	-79.3832
R4CxW24TOR2012	43.6532	-79.3832
MDCxW31PTC2013	43.6532	-79.3832
A1CxW27TOR2013	43.6532	-79.3832
B3CxW27TOR2013	43.6532	-79.3832
C1CxW27TOR2013	43.6532	-79.3832
C3CxW27TOR2013	43.6532	-79.3832
G1CxW27TOR2013	43.6532	-79.3832
J2CxW27TOR2013	43.6532	-79.3832
L5CxW27TOR2013	43.6532	-79.3832
R4CxW27TOR2013	43.6532	-79.3832
A1CxW23TOR2013	43.6532	-79.3832
C1CxW23TOR2013	43.6532	-79.3832
C3CxW23TOR2013	43.6532	-79.3832
R4CxW23TOR2013	43.6532	-79.3832
J2CxW23TOR2012	43.6532	-79.3832
L1CxW23TOR2012	43.6532	-79.3832
O4CxW23TOR2012	43.6532	-79.3832
1A031CxW36LAM2013	43.6532	-79.3832
3F005CxW36LAM2013	43.6532	-79.3832
F4CxW36TOR2012	43.6532	-79.3832
G1CxW36TOR2012	43.6532	-79.3832
H1CxW36TOR2013	43.6532	-79.3832
I1CxW36TOR2012	43.6532	-79.3832
J2CxW36TOR2013	43.6532	-79.3832
J3CxW36TOR2013	43.6532	-79.3832
J4CxW36TOR2013	43.6532	-79.3832
J5CxW36TOR2013	43.6532	-79.3832
K1CxW36TOR2012	43.6532	-79.3832
M1CxW36TOR2012	43.6532	-79.3832
N1CxW36TOR2012	43.6532	-79.3832
N5CxW36TOR2013	43.6532	-79.3832
O4CxW36TOR2012	43.6532	-79.3832
O5CxW36TOR2013	43.6532	-79.3832
R1CxW36TOR2012	43.6532	-79.3832
A1CxW36TOR2012	43.6532	-79.3832
B4CxW36TOR2012	43.6532	-79.3832
C1CxW36TOR2012	43.6532	-79.3832
C2CxW36TOR2012	43.6532	-79.3832
D1CxW36TOR2012	43.6532	-79.3832
P1CxW36TOR2011	43.6532	-79.3832
B1CxW32TOR2013	43.6532	-79.3832
G1CxW23TOR2013	43.6532	-79.3832
O5CxW32TOR2013	43.6532	-79.3832
